teryt;gmina;powiat;wojewodztwo;numer;mieszkancy;wyborcy;pakiety;siedziba;miejscowosc;ulica;nr_posesji;nr_lokalu;kod_pocztowy;poczta;typ_obwodu;dla_niepelnosprawnych;typ_obszaru;pelna_siedziba;opis_granic
246901;m. Katowice;Katowice;śląskie;1;2766;2189;3;Szkoła Podstawowa Nr 9;Katowice;ul. Panewnicka;172;;40-772;Katowice;stały;Tak;miasto;Szkoła Podstawowa Nr 9, ul. Panewnicka 172, 40-772 Katowice;ul.: Bałtycka, Cienista, Jęczmienna, Koszykowa, Kuźnicka, Łąkowa, Owsiana, Panewnicka od nr 250 do końca parzyste, od nr 335 do końca nieparzyste, Śmiłowicka, Ustronna.
246901;m. Katowice;Katowice;śląskie;2;2523;1933;3;Szkoła Podstawowa nr 9;Katowice;ul. Panewnicka;172;;40-772;Katowice;stały;Tak;miasto;Szkoła Podstawowa nr 9, ul. Panewnicka 172, 40-772 Katowice;ul.: gen. Józefa Bema, bł. Edmunda Bojanowskiego, Gorzycka, Gromadzka, Japońska, Panewnicka od nr 148 do nr 248 parzyste, od nr 115 do nr 333 nieparzyste, Partyzantów, Rzeczna, Smoleńska, Twarda, Wietnamska, Wymysłów, Wymysłów Tylna, Zamiejska, Ziembowa.
246901;m. Katowice;Katowice;śląskie;3;2039;1696;0;Zespół Szkolno-Przedszkolny nr 20;Katowice;ul. Zielona;5;;40-756;Katowice;stały;Tak;miasto;Zespół Szkolno-Przedszkolny nr 20, ul. Zielona 5, 40-756 Katowice;ul.: Jutrzenki, Krucza, Łanowa, Włodzimierza Majakowskiego, Nad Strumieniem, Sielska, Szafirowa, Szojdy, Urocza, Józefa Wybickiego, Wyzwolenia, Zielona.
246901;m. Katowice;Katowice;śląskie;4;2242;1901;1;Zespół Szkolno-Przedszkolny nr 20;Katowice;ul. Zielona;5;;40-756;Katowice;stały;Tak;miasto;Zespół Szkolno-Przedszkolny nr 20, ul. Zielona 5, 40-756 Katowice;ul.: Braci Mniejszych, Stanisława Hadyny, Kijowska.
246901;m. Katowice;Katowice;śląskie;5;1352;1133;0;Zespół Szkolno-Przedszkolny nr 20;Katowice;ul. Zielona;5;;40-756;Katowice;stały;Tak;miasto;Zespół Szkolno-Przedszkolny nr 20, ul. Zielona 5, 40-756 Katowice;ul.: Karola Grzesika, Jana Heweliusza, Mała, Ogrodowa od nr 1 do nr 37B, Józefa Płochy, Radomska.
246901;m. Katowice;Katowice;śląskie;6;1862;1724;0;Zespół Szkolno-Przedszkolny nr 18;Katowice;ul. Medyków;27;;40-751;Katowice;stały;Tak;miasto;Zespół Szkolno-Przedszkolny nr 18, ul. Medyków 27, 40-751 Katowice;ul.: Braci Wieczorków, Bronisławy, Jana Karola Chodkiewicza, Cieszyńska, Plac profesora Kornela Gibińskiego, Kazimierza Wielkiego, Kokociniec, Koreańska, Ludowa, Medyków, Nizinna, Panewnicka od nr 96 do nr 146 parzyste, od nr 73 do nr 113A nieparzyste, Wilhelma Rogosza, Rybacka, Stolarska, Studencka, Ustrońska, Warmińska, Wczasowa od nr 14 do końca, Tadeusza Zarańskiego, Generała Mariusza Zaruskiego.
246901;m. Katowice;Katowice;śląskie;7;2625;2343;5;VII Liceum Ogólnokształcące;Katowice;ul. Panewnicka;13;;40-709;Katowice;stały;Tak;miasto;VII Liceum Ogólnokształcące, ul. Panewnicka 13, 40-709 Katowice;ul.: Braci Wolnych, Plac Klasztorny, Koszalińska, Książęca, Plac Miast Partnerskich, Ostrawska, Panewnicka od nr 1 do nr 13 nieparzyste, od nr 30 do nr 90A parzyste, Piotrowicka od nr 34 do nr 50C parzyste, od nr 45 do końca nieparzyste, Przy Dworcu, Biskupa Tadeusza Szurmana, Zagrody, Związkowa.
246901;m. Katowice;Katowice;śląskie;8;2159;1731;1;VII Liceum Ogólnokształcące;Katowice;ul. Panewnicka;13;;40-709;Katowice;stały;Tak;miasto;VII Liceum Ogólnokształcące, ul. Panewnicka 13, 40-709 Katowice;ul.: Ojca Karola Bika, ks. bpa Teofila Bromboszcza, Emerytalna, Franciszkańska, Grunwaldzka, Plac Księdza Rafała Grzondziela, Panewnicka od nr 2 do nr 28 parzyste, od nr 21 do nr 67 nieparzyste, Piotrowicka od nr 58 do końca parzyste, Smolna, Plac O. Justyna Widucha, Stefana Żeromskiego.
246901;m. Katowice;Katowice;śląskie;9;1929;1639;1;Zespół Szkolno-Przedszkolny nr 15;Katowice;ul. Zielonogórska;3;;40-710;Katowice;stały;Tak;miasto;Zespół Szkolno-Przedszkolny nr 15, ul. Zielonogórska 3, 40-710 Katowice;ul.: Kaszubska, Mazowiecka, Mazurska, Słupska od nr 18 do końca parzyste, od nr 15 do końca nieparzyste, Świdnicka nr nieparzyste, Zielonogórska.
246901;m. Katowice;Katowice;śląskie;10;1713;1498;0;Zespół Szkolno-Przedszkolny nr 14;Katowice;ul. Zielonogórska;23;;40-710;Katowice;stały;Tak;miasto;Zespół Szkolno-Przedszkolny nr 14, ul. Zielonogórska 23, 40-710 Katowice;ul.: Huculska, Kołobrzeska, Komunalna, Małopolska, Słupska od nr 1 do nr 14, Świdnicka nr parzyste, Wielkopolska.
